id,saleprice
2172,122000
949,240000
2871,157000
1173,160000
454,184500
2150,200000
621,140000
2595,112000
2288,93900
2355,184500
1859,187000
1680,122500
2844,35000
1186,174000
2426,167240
788,122000
1537,257076
361,178000
2791,222000
1574,294000
2242,68104
1058,383000
160,162000
232,128000
199,123900
203,149500
1053,385000
1595,115000
2110,212999
315,160000
1683,142500
1658,175000
2767,280000
2334,361919
2385,415000
1284,143000
456,230000
250,245350
1223,87000
921,177500
2371,89000
2114,277000
1096,176000
2560,146500
638,153000
2511,166000
284,80000
1667,133000
623,124000
2809,203160
928,174500
1715,250000
1727,200000
1288,111000
832,173000
477,170000
2287,106500
1470,145000
2327,130000
617,149500
650,102900
2535,157500
37,376162
1641,392000
1947,109000
1190,215000
2799,227000
2195,200000
819,323262
2420,210250
153,109000
2882,115000
2683,110500
2497,135000
2723,105000
1365,127000
748,214500
1839,194000
2283,168000
2189,108500
1763,248000
180,129000
2881,35311
2331,545224
1772,290000
16,538000
815,113722
280,107000
2792,214000
528,264500
236,83000
2470,187750
1429,225000
1830,129000
265,272000
311,190000
1941,153000
2736,274970
314,170000
1206,109008
2615,129900
68,204500
2119,279000
1951,148000
2225,215000
799,108000
1665,184000
2772,193000
2757,239799
2580,153000
1213,179900
158,97500
2893,230000
1942,112500
187,76500
2245,124900
462,254000
2111,175900
1791,307000
624,187500
1900,124000
853,124000
2058,119900
1049,148500
878,144000
463,173000
2877,106500
2174,118500
1740,177594
645,126000
1594,124000
2544,145000
924,163500
1473,214000
1804,253000
98,149500
19,141000
341,231000
2598,108480
1298,78000
2388,309000
1612,167300
1837,193800
2125,146000
1870,255000
64,290000
2508,147400
1755,219500
201,109500
2746,91500
905,117000
1551,126000
55,184500
531,185000
1187,183000
2101,279500
1136,159000
2425,225000
2162,213500
2644,110000
34,149900
2140,120000
1516,135900
1060,460000
355,185000
1910,146500
2833,130000
172,109500
2513,165000
2279,130000
2879,108000
1304,112500
1080,207000
2553,137000
1815,179200
229,328000
2018,137500
1494,165400
1410,235000
2108,195400
1793,221300
706,129500
33,127500
470,175900
2875,72000
1914,114500
1376,127500
1528,91000
2476,184000
429,335000
1707,372000
2839,115000
1115,264132
2014,126000
2061,127000
1404,177000
1157,140000
1676,113500
2724,145000
2789,137000
661,142900
1346,150000
518,225000
1067,284000
1511,135500
2453,290000
364,225000
1135,146000
1803,261329
2047,126000
2575,132000
648,113000
372,181000
1139,170000
